city,osmid,length_m,highway_type,lanes,speed_limit,is_oneway,intersection_density,poi_schools,poi_hospitals,poi_markets,poi_bus_stops,poi_fuel,annual_rainfall_mm,avg_temp_c,fog_days_per_year,pop_density_km2,urban_share_pct,is_blackspot,cat_risk_score,cat_predicted,morth_predicted,mismatch_category,lat,lon
Delhi,423407701,135.8,residential,1,40,0,47,1,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.63145,77.02799
Delhi,422351037,50.1,residential,1,40,0,57,0,0,0,1,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.77251,77.14558
Delhi,78154468,38.3,residential,1,40,0,75,1,2,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.68001,77.17218
Delhi,1072183028,15.3,residential,1,40,0,11,0,0,0,1,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.78229,77.14101
Delhi,243063621,172.2,tertiary,1,40,1,22,1,0,0,2,0,723.7,30.2,0.0,11320,97.5,0,0.0001,0,0,Safe (Both Agree),28.66643,77.30254
Delhi,423737837,70.6,residential,1,40,0,43,1,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.5629,77.18442
Delhi,432367086,75.4,residential,1,40,0,81,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.64761,77.10274
Delhi,1078181029,72.9,residential,1,40,0,27,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.75544,76.96656
Delhi,1068113549,188.6,residential,1,40,0,9,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.74434,77.25043
Delhi,1212973214,32.5,residential,1,40,0,24,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.60504,76.96883
Delhi,1095921932,16.9,residential,1,40,0,35,0,2,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.50684,77.23247
Delhi,519444404,7.4,trunk,1,60,1,13,1,0,0,2,0,723.7,30.2,0.0,11320,97.5,0,0.0033,0,1,Safe (Both Agree),28.70859,77.13521
Delhi,1057808798,42.1,residential,1,40,0,46,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.63542,77.016
Delhi,111218029,8.2,residential,1,40,0,17,2,3,0,2,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.56739,77.19939
Delhi,1430476223,8.0,tertiary,1,40,0,20,2,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.66189,77.08199
Delhi,422578907,168.1,residential,1,40,0,25,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.60951,76.95962
Delhi,1079743990,27.6,residential,1,40,0,20,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.59234,77.00775
Delhi,706880211,71.1,residential,1,40,0,32,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.73042,77.20455
Delhi,1072529034,23.8,tertiary,1,30,1,7,1,0,0,2,1,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.67998,77.21248
Delhi,422610288,45.4,residential,1,40,0,57,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.73593,77.02676
Delhi,422201896,172.1,residential,1,40,0,36,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.49032,77.19202
Delhi,1039029102,145.0,primary,1,60,1,11,0,0,0,1,0,723.7,30.2,0.0,11320,97.5,1,1.0,1,1,Confirmed Black Spot,28.55692,77.26945
Delhi,423594086,88.9,residential,1,40,0,33,1,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.60541,77.08531
Delhi,"[1214795344, 423591055]",28.9,residential,1,40,0,50,0,1,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.61678,77.06136
Delhi,"[1121967224, 819425224]",25.1,residential,1,40,0,22,1,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.52694,77.22289
Delhi,190310246,35.3,residential,1,40,0,44,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.52586,77.13786
Delhi,1078953989,35.1,residential,1,40,0,38,1,1,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.83398,77.00669
Delhi,676982755,104.1,living_street,1,40,0,88,1,2,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0012,0,0,Safe (Both Agree),28.68423,77.29009
Delhi,"[422385846, 1077900015]",898.1,residential,1,40,0,0,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.5395,76.92779
Delhi,423400481,24.9,residential,1,40,0,30,0,2,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.67502,77.06496
Delhi,422805404,24.2,residential,1,40,0,59,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.69227,77.05996
Delhi,"[661535579, 149136527]",717.5,tertiary,3,40,0,20,0,1,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.61638,77.0175
